Intent Alignment - Task (Flag (match/no match)),Error Awareness & Recovery,State Tracking Consistency,Tool Correctness,Tool Choice Accuracy,Plan Adherence Metric,task_id,success
-0.05574903326297253,0.0,0.0,0.0,0.0,-0.005397315317471063,0.0,1
-0.05574903326297253,0.0,0.0,0.0,0.0,-0.005397315317471063,,0
-0.05574903326297253,0.0,0.0,0.0,0.0,-0.005397315317471063,,1
-0.05574903326297253,0.0,0.0,0.0,0.0,-0.005397315317471063,,1
-0.05574903326297253,0.0,0.0,0.0,0.0,-0.005397315317471063,,0
0.13379767983113408,0.0,0.0,0.0,0.0,-0.005397315317471063,,1
-0.05574903326297253,0.0,0.0,0.0,0.0,-0.005397315317471063,,0
0.13379767983113408,0.0,0.0,0.0,0.0,-0.005397315317471063,,1
-0.05574903326297253,0.0,0.0,0.0,0.0,0.086357045079537,,1
-0.05574903326297253,0.0,0.0,0.0,0.0,-0.005397315317471063,,1
-0.05574903326297253,0.0,0.0,0.0,0.0,-0.005397315317471063,10.0,1
0.13379767983113408,0.0,0.0,0.0,0.0,-0.005397315317471063,,1
-0.05574903326297253,0.0,0.0,0.0,0.0,-0.005397315317471063,12.0,1
-0.05574903326297253,0.0,0.0,0.0,0.0,-0.005397315317471063,,1
0.13379767983113408,0.0,0.0,0.0,0.0,-0.005397315317471063,,0
-0.05574903326297253,0.0,0.0,0.0,0.0,-0.005397315317471063,15.0,0
0.13379767983113408,0.0,0.0,0.0,0.0,-0.005397315317471063,16.0,1
